trade_date,close,pe
2019-11-19,3947.0392,11.9227
2019-11-20,3907.8641,11.817
2019-11-21,3889.598,11.7735
2019-11-22,3849.9948,11.6806
2019-11-25,3878.2061,11.7832
2019-11-26,3891.6533,11.817
2019-11-27,3875.6186,11.7789
2019-11-28,3862.3029,11.7249
2019-11-29,3828.6706,11.6349
2019-12-02,3836.0589,11.6527
2019-12-03,3851.0873,11.6865
2019-12-04,3849.819,11.6621
2019-12-05,3879.3638,11.7446
2019-12-06,3902.3853,11.7942
2019-12-09,3895.4468,11.7814
2019-12-10,3900.3843,11.7797
2019-12-11,3902.7492,11.8077
2019-12-12,3891.0242,11.7802
2019-12-13,3968.2211,12.0128
2019-12-16,3987.5464,12.1887
2019-12-17,4041.7996,12.3449
2019-12-18,4032.7826,12.3272
2019-12-19,4027.1495,12.317
2019-12-20,4017.2527,12.2912
2019-12-23,3967.0962,12.1307
2019-12-24,3992.9581,12.1947
2019-12-25,3990.8671,12.1857
2019-12-26,4025.9879,12.2897
2019-12-27,4022.0278,12.2875
2019-12-30,4081.6334,12.4437
2019-12-31,4096.5821,12.4782
2020-01-02,4152.2408,12.6384
2020-01-03,4144.9649,12.6255
2020-01-06,4129.2954,12.5882
2020-01-07,4160.2274,12.6625
2020-01-08,4112.3172,12.5094
2020-01-09,4164.3697,12.6115
2020-01-10,4163.1849,12.6181
2020-01-13,4203.9883,12.7239
2020-01-14,4189.8862,12.6856
2020-01-15,4166.7344,12.6113
2020-01-16,4149.0434,12.5362
2020-01-17,4154.853,12.5471
2020-01-20,4185.8304,12.6184
2020-01-21,4114.3085,12.4187
2020-01-22,4131.9311,12.4809
2020-01-23,4003.9013,12.1453
2020-02-03,3688.3578,11.2127
2020-02-04,3785.6376,11.4765
2020-02-05,3828.5272,11.5892
2020-02-06,3899.7751,11.7722
2020-02-07,3899.8693,11.7625
2020-02-10,3916.0052,11.8008
2020-02-11,3952.4643,11.9003
2020-02-12,3984.4325,11.9804
2020-02-13,3959.9188,11.9063
2020-02-14,3987.7342,11.9763
2020-02-17,4077.4241,12.2336
2020-02-18,4057.5108,12.1708
2020-02-19,4051.3107,12.1592
2020-02-20,4144.6561,12.4015
2020-02-21,4149.4903,12.4518
2020-02-24,4132.8388,12.388
2020-02-25,4123.8543,12.3051
2020-02-26,4073.0152,12.197
2020-02-27,4084.8759,12.1919
2020-02-28,3940.0488,11.771
2020-03-02,4069.6662,12.1405
2020-03-03,4091.3615,12.1999
2020-03-04,4115.0524,12.264
2020-03-05,4206.7251,12.5171
2020-03-06,4138.5072,12.3283
2020-03-09,3997.1325,11.953
2020-03-10,4082.7315,12.1753
2020-03-11,4028.4289,12.0344
2020-03-12,3950.9111,11.8404
2020-03-13,3895.3128,11.6888
2020-03-16,3727.8398,11.3055
2020-03-17,3709.6822,11.2494
2020-03-18,3636.2565,11.0411
2020-03-19,3589.0926,10.8752
2020-03-20,3653.2239,11.0629
2020-03-23,3530.3058,10.7104
2020-03-24,3625.1146,10.9911
2020-03-25,3722.5181,11.2522
2020-03-26,3698.0472,11.15
2020-03-27,3710.0605,11.1796
2020-03-30,3674.1108,11.0347
2020-03-31,3686.1551,11.0048
2020-04-01,3675.0758,10.9738
2020-04-02,3734.5306,11.1434
2020-04-03,3713.2183,11.0785
2020-04-07,3798.0214,11.2926
2020-04-08,3780.3445,11.2356
2020-04-09,3792.8105,11.2656
2020-04-10,3769.1782,11.1932
2020-04-13,3753.2566,11.1487
2020-04-14,3825.6991,11.3294
2020-04-15,3797.3623,11.2733
2020-04-16,3802.3806,11.286
2020-04-17,3839.4871,11.3804
2020-04-20,3853.4551,11.4153
2020-04-21,3808.0474,11.2862
2020-04-22,3839.3834,11.3552
2020-04-23,3829.7525,11.3234
2020-04-24,3796.9721,11.3123
2020-04-27,3822.769,11.3875
2020-04-28,3849.1465,11.4414
2020-04-29,3867.032,11.5446
2020-04-30,3912.5772,12.136
2020-05-06,3936.2539,12.1701
2020-05-07,3924.8946,12.1292
2020-05-08,3963.6217,12.2329
2020-05-11,3960.1803,12.2355
2020-05-12,3960.2378,12.2173
2020-05-13,3968.2529,12.2444
2020-05-14,3925.2177,12.1147
2020-05-15,3912.8159,12.0863
2020-05-18,3922.9117,12.1142
2020-05-19,3956.2495,12.2101
2020-05-20,3935.222,12.1554
2020-05-21,3913.7949,12.0977
2020-05-22,3824.064,11.8454
2020-05-25,3829.3245,11.855
2020-05-26,3872.7701,11.9604
2020-05-27,3845.6135,11.9055
2020-05-28,3856.6324,11.9536
2020-05-29,3867.0232,11.96
2020-06-01,3971.3402,12.2354
2020-06-02,3983.5677,12.2776
2020-06-03,3983.6477,12.2882
2020-06-04,3982.1851,12.2647
2020-06-05,4001.2509,12.3289
2020-06-08,4021.9549,12.3831
2020-06-09,4047.0293,12.4598
2020-06-10,4039.7051,12.4203
2020-06-11,3995.8846,12.2946
2020-06-12,4003.0829,12.3037
2020-06-15,3954.9883,12.2079
2020-06-16,4014.5702,12.3712
2020-06-17,4017.5941,12.3705
2020-06-18,4044.3842,12.4249
2020-06-19,4098.7095,12.5705
